GO,level
GO:0032501,2
GO:0007610,2
GO:0040007,2
GO:0040011,2
GO:0022414,3
GO:0048511,2
GO:0032502,2
GO:0019740,6
GO:0050896,2
GO:0098743,2
GO:0015976,6
GO:0043473,2
GO:0009987,2
GO:0044848,2
GO:0048519,4
GO:0048518,4
GO:0001906,2
GO:0006794,5
GO:0000003,2
GO:0051179,2
GO:0098754,5
GO:0022610,2
GO:0023052,2
GO:0009758,7
GO:0050789,3
GO:0006791,5
GO:0008283,2
GO:0008152,2
GO:0002376,2
GO:0051704,2
GO:0065007,2
GO:0071840,2
GO:0032504,3
GO:0030431,3
GO:0007586,3
GO:0051239,4
GO:0071827,6
GO:0007275,4
GO:0001763,5
GO:0007585,3
GO:0043480,5
GO:0001503,3
GO:0035074,8
GO:0010162,11
GO:0035637,3
GO:0022005,13
GO:0090130,3
GO:0022004,13
GO:0097242,3
GO:0009845,7
GO:0035314,6
GO:0036363,5
GO:0022404,4
GO:0042303,3
GO:0045494,8
GO:0035265,4
GO:0048871,5
GO:0002021,6
GO:0050817,3
GO:0035889,11
GO:0035187,6
GO:0051240,5
GO:0051241,5
GO:0030537,3
GO:0016203,9
GO:0030588,6
GO:0032898,3
GO:0001816,3
GO:0032941,6
GO:0055046,7
GO:0097207,4
GO:0055127,8
GO:1990110,6
GO:0034381,9
GO:0009846,5
GO:0010073,6
GO:0035073,8
GO:0071684,3
GO:0090664,4
GO:0010232,5
GO:0003053,9
GO:0097167,10
GO:0048647,5
GO:0044706,3
GO:0048771,3
GO:0060384,8
GO:0008340,6
GO:0019827,4
GO:0022608,3
GO:0009561,7
GO:0002532,6
GO:0080189,3
GO:0009791,5
GO:0031424,9
GO:0050879,3
GO:0007389,5
GO:0007632,6
GO:0033555,4
GO:0032922,7
GO:0010022,7
GO:0035264,4
GO:0030534,3
GO:0003008,3
GO:0060273,3
GO:0061744,3
GO:0019098,5
GO:0007625,3
GO:0007622,3
GO:0007626,3
GO:0051780,7
GO:0071625,3
GO:0050795,4
GO:0007611,6
GO:0007638,5
GO:0051705,3
GO:0032537,3
GO:0051867,6
GO:0002209,5
GO:0035640,3
GO:0060756,3
GO:0048521,5
GO:0048520,5
GO:0042630,7
GO:0007631,3
GO:0002210,5
GO:0040040,5
GO:0007635,4
GO:0048266,6
GO:0045927,5
GO:0045926,5
GO:0048589,3
GO:0040008,4
GO:0044110,5
GO:0001550,12
GO:0001545,11
GO:0042702,11
GO:0001546,11
GO:0016049,3
GO:0007117,5
GO:0030447,3
GO:0080190,3
GO:0040017,5
GO:0036268,3
GO:0060361,3
GO:0048870,4
GO:0042330,4
GO:0040012,4
GO:0071965,4
GO:0052192,5
GO:0031987,4
GO:0051821,5
GO:0040013,5
GO:0033058,3
GO:0060739,9
GO:0045450,14
GO:0035041,9
GO:0048609,4
GO:0000743,10
GO:0035039,8
GO:1905419,8
GO:0061500,13
GO:0031292,11
GO:0071509,15
GO:0060783,10
GO:0007343,8
GO:0097722,5
GO:0071507,13
GO:0060471,12
GO:0060468,9
GO:0060858,12
GO:0007543,8
GO:0071510,15
GO:0046595,17
GO:0051663,14
GO:0009856,4
GO:0009876,6
GO:0035040,9
GO:0007566,6
GO:0051321,8
GO:0007300,9
GO:0043093,7
GO:0060870,12
GO:0030709,10
GO:0048497,11
GO:0002077,9
GO:0010708,11
GO:0060476,9
GO:0035471,11
GO:0061883,10
GO:0060767,9
GO:0007316,15
GO:0007344,8
GO:0000728,11
GO:0061948,4
GO:0010588,13
GO:0071511,15
GO:0018985,8
GO:0007340,8
GO:0007318,15
GO:0022602,6
GO:0032219,10
GO:0071508,15
GO:2000241,4
GO:0060781,9
GO:0060469,13
GO:1903046,5
GO:0035036,8
GO:0003006,4
GO:0035044,8
GO:0035037,8
GO:1902397,15
GO:2000242,5
GO:0060519,12
GO:0032220,10
GO:0060011,10
GO:0035038,8
GO:0060869,12
GO:0060710,12
GO:0060475,13
GO:0007534,10
GO:0060470,13
GO:0051037,12
GO:0060474,12
GO:0070871,9
GO:0072409,9
GO:0034624,13
GO:0045729,8
GO:0048359,11
GO:0034636,11
GO:0035046,8
GO:0022412,4
GO:0022413,4
GO:1902064,13
GO:0010344,10
GO:0048544,6
GO:0009875,5
GO:0048573,9
GO:0000742,9
GO:0010183,7
GO:0009859,7
GO:0060518,12
GO:0060673,10
GO:0030720,10
GO:0060478,12
GO:0035042,10
GO:0110134,4
GO:2000243,5
GO:0060466,13
GO:0010069,11
GO:0061450,7
GO:0090220,10
GO:0007299,10
GO:0007303,10
GO:0009566,6
GO:0036093,7
GO:0000734,11
GO:0060722,10
GO:0061955,13
GO:0048134,8
GO:0044703,4
GO:0060738,9
GO:1902441,11
GO:0042698,5
GO:0007624,3
GO:0007623,3
GO:0048646,5
GO:0050793,4
GO:0090644,6
GO:0031128,7
GO:0048869,3
GO:0097737,3
GO:0048532,5
GO:0009847,3
GO:0022611,3
GO:0044111,5
GO:0010014,7
GO:0051094,5
GO:0060033,5
GO:0007571,4
GO:0048856,3
GO:0098727,3
GO:0009838,5
GO:0021700,3
GO:0043934,3
GO:0007568,3
GO:0043696,3
GO:0009653,4
GO:0051093,5
GO:0019676,11
GO:0045848,8
GO:0045847,8
GO:0006808,7
GO:0048583,4
GO:0048584,5
GO:0014823,3
GO:0009605,3
GO:0006955,3
GO:0051716,3
GO:0014874,8
GO:0009607,3
GO:0014854,3
GO:0006950,3
GO:0009628,3
GO:0043627,3
GO:0072376,6
GO:0048585,5
GO:0051606,3
GO:0043500,5
GO:0009719,3
GO:0042221,3
GO:0051775,3
GO:0098630,3
GO:0001502,9
GO:0043609,7
GO:0048066,3
GO:0033060,3
GO:0043474,4
GO:0033059,3
GO:0043476,4
GO:0016037,7
