item_id_a,item_id_b,score
ARF5,BET1,1
ARF5,YKT6,1
ARF5,COPB1,1
ARF3,ARF5,1
ARF5,KDELR2,1
ARF5,TMED2,1
ARF5,COPE,1
ARF5,ARFGAP3,1
ARF5,SPTBN4,1
ARCN1,ARF5,1
ANK1,ARF5,1
ANK3,ARF5,1
ARF5,CYTH3,1
ARF5,TMED3,1
ARF5,TMED10,1
ARF4,ARF5,1
ARF5,RAB1B,1
ARF5,ARFGAP1,1
ARF5,SPTBN5,1
ARF5,COPG1,1
ARF5,COPB2,1
ARF5,KDELR1,1
ARF5,TMED9,1
ARF5,SPTBN1,1
ANK2,ARF5,1
ARF5,CD55,1
ARF5,COPA,1
ARF5,SPTA1,1
ARF5,GBF1,1
ARF5,SURF4,1
ARF5,SPTAN1,1
ARF5,FOLR1,1
ARF5,CD59,1
ARF5,INS,1
ARF5,KDELR3,1
ARF5,RAB1A,1
ARF5,COPG2,1
ARF5,TMED7-TICAM2,1
ARF5,SPTBN2,1
ARF5,ARFGAP2,1
ARF1,ARF5,1
ARF5,USO1,1
ARF5,COPZ1,1
ARF5,SPTB,1
ARF5,SEC22B,1
ARF5,COPZ2,1
CFTR,M6PR,1
DVL2,M6PR,1
CD4,M6PR,1
M6PR,VAMP3,1
CTSZ,M6PR,1
M6PR,PLIN3,1
DNASE2,M6PR,1
M6PR,WASL,1
ARPC3,M6PR,1
APOB,M6PR,1
M6PR,VAMP4,1
CLTA,M6PR,1
M6PR,RAB9B,1
AP1M2,M6PR,1
HIP1R,M6PR,1
GNS,M6PR,1
M6PR,SYT1,1
M6PR,VAMP7,1
ARPC1A,M6PR,1
ACTR3,M6PR,1
M6PR,PACSIN2,1
AP2S1,M6PR,1
LRP2,M6PR,1
M6PR,VAMP8,1
M6PR,STAM2,1
CBL,M6PR,1
M6PR,WNT5A,1
M6PR,SCARB2,1
EGF,M6PR,1
M6PR,PIK3C2A,1
M6PR,SH3GL1,1
FNBP1L,M6PR,1
M6PR,UBC,1
CFTR,RNF146,0
CFTR,RNF19A,0
CFTR,RPL10L,0
CFTR,RPL19,0
CFTR,RPL23A,0
CFTR,RPL39L,0
CFTR,RPL9,0
CFTR,RPS10,0
CFTR,RPS12,0
CFTR,RPS9,0
CFTR,RPSA,0
CFTR,RUNX3,0
CFTR,S1PR2,0
CFTR,SAA2,0
CFTR,SART1,0
CFTR,SDC2,0
CFTR,SERPINE1,0
CFTR,SH3RF1,0
CFTR,SIAH1,0
CFTR,SKA2,0
CFTR,SLC15A4,0
CFTR,SOCS2,0
CFTR,SPRTN,0
CFTR,SPSB1,0
CFTR,SRC,0
CFTR,SRGN,0
CFTR,SRRM1,0
CFTR,SSTR5,0
CFTR,STAT2,0
CFTR,SUCNR1,0
CFTR,TGFB1,0
CFTR,TNF,0
CFTR,TPM2,0
CFTR,TRAF7,0
CFTR,TRAM1,0
CFTR,TRHR,0
CFTR,TRIM36,0
CFTR,TRIM69,0
CFTR,UBA7,0
CFTR,UBE2C,0
CFTR,UBE2E2,0
CFTR,UBE2J1,0
CFTR,UBE2S,0
CFTR,UBE2W,0
CFTR,UBE3C,0
CFTR,UNKL,0
CFTR,USP39,0
CFTR,UTP4,0
CFTR,VEGFC,0
CFTR,VTA1,0
CFTR,WNT7A,0
CFTR,WWP1,0
CFTR,ZNRF2,0
CGA,COL4A5,0
CGA,COMMD4,0
CGA,CREB3L2,0
CGA,CSF1,0
CGA,CSN3,0
CGA,CSTF1,0
CGA,CYSLTR2,0
CGA,DCTN2,0
CGA,DCTN4,0
CGA,DDX23,0
CGA,DNA2,0
CGA,DRD3,0
